claim_id,topic,statement,about_type,about_id
claim-makarewa-water-take,water,Consented operational groundwater take for the Makarewa data centre,Facility,facility-makarewa
claim-makarewa-dewatering-take,water,Groundwater taken to dewater the Makarewa construction area,Facility,facility-makarewa
claim-makarewa-wastewater-discharge,water,Treated wastewater discharged to land at Makarewa,Facility,facility-makarewa
claim-makarewa-cooling-method,water,How the Makarewa data centre rejects heat,Facility,facility-makarewa
claim-makarewa-power-draw,energy,Electrical load of the Makarewa data centre,Facility,facility-makarewa
claim-makarewa-second-largest-user,energy,Makarewa would be New Zealand's second-largest electricity user,Facility,facility-makarewa
claim-makarewa-jobs-construction,economic,Jobs during construction of the Makarewa data centre,Facility,facility-makarewa
claim-makarewa-jobs-permanent,economic,Ongoing staffing of the Makarewa data centre,Facility,facility-makarewa
claim-makarewa-site-footprint,land,Land area of the Makarewa site,Facility,facility-makarewa
claim-makarewa-capex,economic,Capital cost of the Makarewa data centre,Facility,facility-makarewa
claim-makarewa-mercury-stake,economic,Mercury's stake in and offtake from the Makarewa project,Entity,entity-mercury
claim-makarewa-open-date,timeline,When the Makarewa data centre is expected to open,Facility,facility-makarewa
claim-makarewa-diesel-generators,air,Diesel backup generation at Makarewa,Facility,facility-makarewa
claim-makarewa-consent-granted,consent,Resource consent was granted for the Makarewa data centre,Policy,policy-makarewa-consents
claim-makarewa-non-notified,consent,The Makarewa consent application was not publicly notified,Policy,policy-makarewa-consents
claim-makarewa-consultation-adequate,consent,Whether consultation on the Makarewa proposal was adequate,Policy,policy-makarewa-consents
claim-makarewa-consent-review,consent,A review of the Makarewa consents is before Southland District Council,Policy,policy-makarewa-consents
claim-makarewa-wetland-removal,ecology,Earthworks and wetland effects at the Makarewa site,Facility,facility-makarewa
claim-makarewa-subsea-cable,infrastructure,The subsea cable landing associated with the Makarewa project,Facility,facility-makarewa
claim-makarewa-noise-assessment,noise,Noise effects assessed for the Makarewa data centre,Facility,facility-makarewa
claim-makarewa-construction-traffic,traffic,Construction traffic generated by the Makarewa build,Facility,facility-makarewa
claim-makarewa-coolant-wastewater,water,Contaminants in the Makarewa cooling and wastewater streams,Facility,facility-makarewa
claim-makarewa-economic-impact,economic,Economic impact attributed to the Makarewa project,Facility,facility-makarewa
claim-nz-renewable-share,energy,Share of New Zealand electricity generation that is renewable,Entity,entity-nz-grid
claim-nz-datacentre-electricity-share,energy,Share of national electricity supply used by data centres,Entity,entity-nz-grid
claim-nz-datacentre-regulation,policy,Whether New Zealand has a data centre policy or rulebook,Entity,entity-nz-government
